Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Jannik Sinner [ITA],67,61-6,91.00%,71.70%,70.30%,431,9.20%,89,1.90%,5.00%,61.70%,79.10%,59.80%,62.90%,91.80%,5.9,1.7
2,Carlos Alcaraz [ESP],79,69-10,87.30%,68.00%,67.90%,468,7.70%,219,3.60%,10.00%,64.10%,74.10%,57.00%,63.40%,87.30%,6.1,1.9
3,Alexander Zverev [GER],81,57-24,70.40%,68.40%,66.90%,595,9.90%,154,2.60%,9.20%,72.00%,74.00%,54.00%,59.50%,87.00%,6.1,1.9
4,Taylor Fritz [USA],79,56-23,70.90%,70.50%,67.50%,891,14.40%,147,2.40%,6.60%,64.00%,79.80%,54.10%,57.90%,89.70%,6,1.8
5,Novak Djokovic [SRB],46,35-11,76.10%,69.40%,68.00%,376,10.00%,98,2.60%,7.80%,66.60%,76.50%,55.20%,59.90%,88.40%,6,1.8
6,Ben Shelton [USA],62,40-22,64.50%,67.90%,66.40%,608,12.00%,193,3.80%,10.60%,64.30%,75.10%,55.00%,61.60%,87.30%,6.3,2
7,Alex De Minaur [AUS],81,55-26,67.90%,66.20%,66.60%,309,5.60%,190,3.40%,7.70%,55.70%,73.50%,57.00%,61.80%,84.00%,6.2,2.1
8,Felix Auger Aliassime [CAN],70,48-22,68.60%,68.60%,66.90%,749,13.40%,230,4.10%,12.40%,66.70%,76.90%,51.90%,59.20%,86.00%,6.1,1.9
9,Lorenzo Musetti [ITA],61,41-20,67.20%,66.00%,65.80%,261,5.50%,119,2.50%,7.20%,65.10%,72.00%,54.80%,59.10%,82.70%,6.2,2.1
10,Casper Ruud [NOR],60,41-19,68.30%,66.30%,65.30%,343,8.10%,117,2.80%,8.30%,66.50%,73.10%,52.70%,57.40%,84.00%,6.1,2.1
11,Jack Draper [GBR],39,30-9,76.90%,67.90%,66.50%,325,10.60%,99,3.20%,8.80%,63.20%,75.60%,54.70%,60.00%,86.10%,6,1.9
12,Daniil Medvedev [RUS],67,42-25,62.70%,65.70%,65.70%,551,11.10%,288,5.80%,15.00%,61.40%,76.00%,49.20%,57.80%,82.90%,6.1,2.1
13,Alexander Bublik [KAZ],58,37-21,63.80%,66.80%,66.20%,659,14.80%,295,6.60%,17.30%,61.70%,78.50%,47.90%,57.90%,86.10%,6.3,2.1
14,Alejandro Davidovich Fokina [ESP],70,44-26,62.90%,63.00%,63.10%,246,4.40%,152,2.70%,8.10%,66.20%,68.40%,52.40%,57.00%,79.10%,6.6,2.4
15,Holger Rune [DEN],58,36-22,62.10%,65.10%,65.10%,282,6.40%,152,3.50%,9.20%,62.40%,72.30%,53.00%,58.40%,82.80%,6.3,2.2
16,Andrey Rublev [RUS],63,35-28,55.60%,66.90%,65.80%,506,10.10%,180,3.60%,9.00%,60.30%,76.80%,51.90%,57.00%,83.80%,6.2,2
17,Jiri Lehecka [CZE],66,43-23,65.20%,67.20%,65.50%,505,10.60%,143,3.00%,7.90%,62.00%,76.00%,52.90%,57.50%,84.90%,6.1,2
18,Karen Khachanov [RUS],56,32-24,57.10%,65.90%,64.80%,391,8.10%,135,2.80%,7.50%,63.00%,73.90%,52.20%,56.50%,82.20%,6.2,2.1
19,Jakub Mensik [CZE],54,31-23,57.40%,66.60%,63.60%,722,16.20%,208,4.70%,11.50%,59.60%,78.20%,49.30%,55.80%,85.60%,6.4,2.1
20,Tommy Paul [USA],42,29-13,69.00%,64.70%,64.10%,251,6.70%,104,2.80%,7.00%,60.40%,72.40%,53.00%,56.90%,81.80%,6.3,2.2
21,Francisco Cerundolo [ARG],65,40-25,61.50%,62.00%,62.40%,236,4.90%,179,3.70%,9.50%,61.20%,68.50%,51.70%,57.10%,76.70%,6.5,2.5
22,Flavio Cobolli [ITA],57,31-26,54.40%,61.90%,62.40%,254,5.40%,187,4.00%,9.00%,55.70%,68.70%,53.50%,58.80%,77.20%,6.7,2.6
23,Denis Shapovalov [CAN],54,31-23,57.40%,63.60%,65.10%,450,10.70%,337,8.00%,19.60%,59.00%,73.50%,49.40%,61.40%,80.50%,6.3,2.3
24,Joao Fonseca [BRA],47,31-16,66.00%,66.40%,65.30%,291,8.00%,92,2.50%,7.70%,67.00%,73.00%,53.00%,57.50%,84.20%,6.3,2.1
25,Tallon Griekspoor [NED],56,31-25,55.40%,66.40%,65.10%,498,10.30%,172,3.50%,10.20%,65.20%,74.70%,50.80%,56.50%,85.00%,6.5,2.2
26,Luciano Darderi [ITA],56,29-27,51.80%,64.00%,63.70%,321,7.80%,159,3.90%,9.70%,60.10%,71.80%,52.40%,58.10%,79.40%,6.3,2.3
27,Cameron Norrie [GBR],60,34-26,56.70%,63.40%,63.00%,296,5.80%,142,2.80%,8.10%,65.90%,69.50%,51.60%,56.10%,79.80%,6.6,2.4
28,Arthur Rinderknech [FRA],54,27-27,50.00%,66.00%,64.30%,532,12.00%,178,4.00%,10.80%,63.10%,75.60%,49.60%,55.70%,84.80%,6.5,2.2
29,Frances Tiafoe [USA],49,26-23,53.10%,64.40%,62.90%,383,9.60%,129,3.20%,7.40%,56.10%,74.30%,51.70%,55.80%,79.70%,6.4,2.3
30,Valentin Vacherot [MON],19,15-4,78.90%,65.70%,64.90%,93,8.60%,37,3.40%,9.60%,64.40%,72.90%,52.70%,58.30%,83.00%,6.3,2.2
31,Corentin Moutet [FRA],60,35-25,58.30%,61.70%,62.20%,191,4.10%,150,3.20%,8.50%,62.50%,67.40%,52.30%,57.10%,77.60%,6.6,2.5
32,Tomas Machac [CZE],42,23-19,54.80%,64.90%,64.80%,267,8.40%,137,4.30%,11.10%,61.20%,72.60%,53.00%,59.60%,81.40%,6.3,2.2
33,Brandon Nakashima [USA],61,32-29,52.50%,66.80%,63.80%,530,10.80%,67,1.40%,4.00%,66.10%,74.10%,52.60%,54.80%,84.40%,6.3,2.1
34,Stefanos Tsitsipas [GRE],40,22-18,55.00%,66.90%,66.90%,257,8.70%,127,4.30%,10.60%,59.20%,76.40%,53.20%,59.50%,84.30%,6.2,2
35,Alex Michelsen [USA],59,31-28,52.50%,62.90%,62.60%,304,6.80%,160,3.60%,10.60%,66.50%,70.00%,48.90%,54.70%,78.00%,6.5,2.4
36,Jaume Munar [ESP],55,30-25,54.50%,64.40%,65.10%,229,5.40%,166,3.90%,10.70%,63.70%,72.10%,50.80%,56.90%,80.60%,6.2,2.2
37,Ugo Humbert [FRA],45,25-20,55.60%,66.40%,65.30%,307,9.20%,107,3.20%,8.30%,61.50%,74.10%,54.00%,58.90%,83.20%,6.2,2.1
38,Learner Tien [USA],55,30-25,54.50%,61.40%,62.80%,214,4.80%,225,5.00%,12.90%,61.30%,68.10%,50.80%,58.40%,75.80%,6.6,2.6
39,Arthur Fils [FRA],36,23-13,63.90%,64.90%,65.00%,181,6.60%,101,3.70%,9.70%,62.20%,72.10%,53.00%,58.60%,80.90%,6.3,2.2
40,Zizou Bergs [BEL],59,32-27,54.20%,63.20%,63.60%,353,8.40%,230,5.50%,13.00%,57.80%,72.10%,50.90%,58.50%,77.90%,6.5,2.4
41,Gabriel Diallo [CAN],54,29-25,53.70%,66.10%,64.40%,449,11.00%,138,3.40%,10.30%,67.30%,73.80%,50.40%,56.20%,83.70%,6.3,2.1
42,Lorenzo Sonego [ITA],52,23-29,44.20%,65.60%,64.90%,329,7.20%,128,2.80%,8.20%,66.20%,72.90%,51.30%,56.00%,83.90%,6.4,2.2
43,Alexandre Muller [FRA],49,22-27,44.90%,61.00%,61.20%,181,4.40%,126,3.00%,9.10%,66.40%,67.40%,48.50%,53.30%,74.40%,6.6,2.6
44,Grigor Dimitrov [BUL],29,18-11,62.10%,66.50%,66.10%,218,10.70%,100,4.90%,12.00%,59.20%,76.10%,52.50%,59.60%,83.20%,6.2,2.1
45,Sebastian Baez [ARG],42,17-25,40.50%,57.90%,58.40%,71,2.20%,78,2.40%,8.60%,71.70%,62.10%,47.10%,51.60%,67.20%,6.5,2.7
46,Daniel Altmaier [GER],51,22-29,43.10%,62.30%,60.30%,405,9.60%,122,2.90%,7.30%,60.40%,72.30%,47.20%,50.90%,77.90%,6.5,2.4
47,Nuno Borges [POR],59,28-31,47.50%,64.00%,63.10%,339,6.90%,134,2.70%,8.20%,66.60%,70.90%,50.20%,54.70%,80.20%,6.5,2.3
48,Camilo Ugo Carabelli [ARG],44,19-25,43.20%,59.30%,59.80%,147,4.30%,124,3.70%,9.40%,61.10%,66.70%,47.70%,52.70%,72.40%,6.7,2.7
49,Fabian Marozsan [HUN],55,28-27,50.90%,64.70%,64.30%,264,6.30%,119,2.90%,8.10%,64.90%,71.10%,53.00%,57.70%,83.00%,6.4,2.3
50,Reilly Opelka [USA],48,25-23,52.10%,68.80%,65.20%,777,19.30%,193,4.80%,12.90%,62.80%,79.10%,51.40%,59.00%,88.80%,6.4,2
,Average,,,60.30%,65.40%,64.70%,,8.70%,,3.50%,9.60%,63.20%,73.20%,52.20%,57.70%,82.60%,6.3,2.2
